epoch,RPF_base,CKA,NT-Xent,Cos
9,0.5,0.5,0.5,0.5
19,0.5,0.5,0.5,0.5
29,0.5,0.5,0.5,0.5
39,0.5,0.5,0.5,0.5
49,0.5,0.5,0.5,0.5
59,0.5,0.5,0.5,0.5034722222222222
69,0.5,0.5,0.5,0.5034722222222222
79,0.5,0.5,0.5,0.5
89,0.5,0.5034722222222222,0.5034722222222222,0.5
99,0.5034722222222222,0.5034722222222222,0.5,0.5069444444444444
109,0.5,0.5,0.5034722222222222,0.5034722222222222
119,0.5,0.5,0.5034722222222222,0.5034722222222222
129,0.5034722222222222,0.5069444444444444,0.5,0.5034722222222222
139,0.5034722222222222,0.5034722222222222,0.5,0.5
149,0.5,0.5034722222222222,0.5,0.5034722222222222
159,0.5069444444444444,0.5034722222222222,0.5,0.5034722222222222
169,0.5034722222222222,0.5208333333333334,0.5,0.5034722222222222
179,0.5,0.5104166666666666,0.5034722222222222,0.5138888888888888
189,0.5034722222222222,0.5034722222222222,0.5034722222222222,0.5034722222222222
199,0.5034722222222222,0.5173611111111112,0.5,0.5138888888888888
209,0.5034722222222222,0.5034722222222222,0.5,0.5104166666666666
219,0.5034722222222222,0.5173611111111112,0.5104166666666666,0.5138888888888888
229,0.5069444444444444,0.5104166666666666,0.5069444444444444,0.5104166666666666
239,0.5,0.5069444444444444,0.5069444444444444,0.5243055555555556
249,0.5034722222222222,0.5277777777777778,0.5069444444444444,0.5208333333333334
259,0.5069444444444444,0.5138888888888888,0.5034722222222222,0.5173611111111112
269,0.5069444444444444,0.5138888888888888,0.5069444444444444,0.5243055555555556
279,0.5034722222222222,0.5277777777777778,0.5104166666666666,0.5138888888888888
289,0.5034722222222222,0.5347222222222222,0.5,0.5104166666666666
299,0.5069444444444444,0.5277777777777778,0.5034722222222222,0.5277777777777778
309,0.5069444444444444,0.53125,0.5,0.5347222222222222
319,0.5104166666666666,0.5277777777777778,0.5034722222222222,0.5416666666666666
329,0.5034722222222222,0.5347222222222222,0.5,0.5347222222222222
339,0.5034722222222222,0.5173611111111112,0.5,0.5381944444444444
349,0.5069444444444444,0.5138888888888888,0.5034722222222222,0.5277777777777778
359,0.5069444444444444,0.5347222222222222,0.5138888888888888,0.5208333333333334
369,0.5138888888888888,0.53125,0.5138888888888888,0.5208333333333334
379,0.5034722222222222,0.5243055555555556,0.5,0.53125
389,0.5173611111111112,0.53125,0.5034722222222222,0.5381944444444444
399,0.5034722222222222,0.5138888888888888,0.5069444444444444,0.53125
409,0.5034722222222222,0.5416666666666666,0.5138888888888888,0.5277777777777778
419,0.5104166666666666,0.5277777777777778,0.5069444444444444,0.53125
429,0.5173611111111112,0.5243055555555556,0.5208333333333334,0.53125
439,0.5138888888888888,0.5347222222222222,0.5034722222222222,0.5451388888888888
449,0.5069444444444444,0.53125,0.5069444444444444,0.5625
459,0.5069444444444444,0.5347222222222222,0.5104166666666666,0.5173611111111112
469,0.5034722222222222,0.5381944444444444,0.5034722222222222,0.5416666666666666
479,0.5069444444444444,0.5555555555555556,0.5069444444444444,0.5590277777777778
489,0.5034722222222222,0.5694444444444444,0.5034722222222222,0.5138888888888888
499,0.5034722222222222,0.5416666666666666,0.5069444444444444,0.5243055555555556
509,0.5069444444444444,0.53125,0.5138888888888888,0.5243055555555556
519,0.5069444444444444,0.5555555555555556,0.5104166666666666,0.5590277777777778
529,0.5104166666666666,0.5694444444444444,0.5104166666666666,0.5486111111111112
539,0.5208333333333334,0.5416666666666666,0.5,0.5451388888888888
549,0.5138888888888888,0.5486111111111112,0.5034722222222222,0.5520833333333334
559,0.5138888888888888,0.5694444444444444,0.5069444444444444,0.5555555555555556
569,0.5173611111111112,0.5659722222222222,0.5034722222222222,0.5659722222222222
579,0.5069444444444444,0.5520833333333334,0.5069444444444444,0.5555555555555556
589,0.5138888888888888,0.5798611111111112,0.5104166666666666,0.5555555555555556
599,0.5138888888888888,0.5243055555555556,0.5138888888888888,0.5625
609,0.5173611111111112,0.5625,0.5034722222222222,0.5451388888888888
619,0.5069444444444444,0.5451388888888888,0.5069444444444444,0.5347222222222222
629,0.5138888888888888,0.5173611111111112,0.5104166666666666,0.5555555555555556
639,0.5104166666666666,0.5590277777777778,0.5173611111111112,0.5625
649,0.5138888888888888,0.5590277777777778,0.5034722222222222,0.5590277777777778
659,0.5034722222222222,0.5416666666666666,0.5069444444444444,0.5520833333333334
669,0.5069444444444444,0.5520833333333334,0.5173611111111112,0.5555555555555556
679,0.5138888888888888,0.5520833333333334,0.5208333333333334,0.5729166666666666
689,0.5104166666666666,0.5451388888888888,0.5034722222222222,0.5590277777777778
699,0.5069444444444444,0.5520833333333334,0.5277777777777778,0.5659722222222222
709,0.5104166666666666,0.5590277777777778,0.5173611111111112,0.53125
719,0.5104166666666666,0.5694444444444444,0.5173611111111112,0.5659722222222222
729,0.53125,0.5833333333333334,0.5034722222222222,0.5729166666666666
739,0.5069444444444444,0.5694444444444444,0.5138888888888888,0.5555555555555556
749,0.5069444444444444,0.6006944444444444,0.5173611111111112,0.5763888888888888
759,0.5069444444444444,0.5659722222222222,0.5138888888888888,0.5659722222222222
