epoch,RPF_base,CKA,NT-Xent,Cos
9,0.572467385,0.715130432,0.515442715,0.659592863
19,0.669684012,0.777056548,0.594858041,0.785089322
29,0.712035673,0.809362467,0.688924324,0.807957664
39,0.756778773,0.833009226,0.697423863,0.843331532
49,0.747728169,0.86740377,0.66945231,0.857357833
59,0.763521793,0.86034227,0.755957325,0.867745291
69,0.762098721,0.88812953,0.765119696,0.877577202
79,0.801441323,0.889372363,0.778564982,0.879990747
89,0.773797122,0.893302719,0.776293663,0.89142174
99,0.787927632,0.895952831,0.803949795,0.884876388
109,0.795838623,0.90079345,0.796195838,0.901581829
119,0.808499782,0.911872411,0.797813942,0.898544536
129,0.816928691,0.907941593,0.803501062,0.89615934
139,0.821563107,0.910528046,0.817096654,0.902139031
149,0.82218069,0.909877975,0.817484825,0.904800983
159,0.819768484,0.913909162,0.819234973,0.899261893
169,0.830418311,0.919458537,0.837724968,0.907301741
179,0.845109117,0.916974196,0.836348387,0.915220118
189,0.837019256,0.923809903,0.850747215,0.91240267
199,0.852465067,0.922341087,0.852464522,0.915745923
209,0.826343399,0.927548997,0.842130553,0.920503636
219,0.865138954,0.925167613,0.850704978,0.916241262
229,0.856386567,0.925628722,0.861154921,0.920230957
239,0.860470896,0.928419277,0.849998718,0.924861609
249,0.8669544,0.928534893,0.864315865,0.923940606
259,0.858478994,0.929323699,0.869173004,0.920862663
269,0.851486547,0.927664651,0.839345587,0.922528414
279,0.868468739,0.929455745,0.862920958,0.929983536
289,0.863111444,0.931074948,0.873117258,0.925630249
299,0.869286242,0.934010092,0.86918672,0.923969183
309,0.855712237,0.933429664,0.872173338,0.922758441
319,0.858827952,0.933365469,0.878036352,0.926952416
329,0.874512689,0.935148965,0.873917328,0.930676039
339,0.877117232,0.934355688,0.876788497,0.930129284
349,0.883226219,0.932298105,0.87753801,0.932142496
359,0.878889682,0.935817542,0.88576041,0.927641983
369,0.880150271,0.937990786,0.884472013,0.929261553
379,0.891093877,0.935818514,0.88108408,0.93418632
389,0.889525942,0.937932784,0.88333012,0.935201425
399,0.889603133,0.9370419,0.882428378,0.927334982
409,0.886588168,0.937056976,0.872016441,0.935973685
419,0.889893537,0.939142722,0.890713585,0.934225195
429,0.892371713,0.941403558,0.889355111,0.916313821
439,0.891892958,0.938714096,0.885488989,0.937846018
449,0.895243524,0.939304391,0.891408294,0.93792042
459,0.890940965,0.941593322,0.888781124,0.935911538
469,0.898800865,0.941942441,0.887640779,0.934496285
479,0.890273351,0.942281604,0.886679803,0.934668582
489,0.888397815,0.942680621,0.889795119,0.93698006
499,0.896439349,0.942055777,0.892838208,0.936214127
509,0.89642841,0.942749923,0.89509408,0.93994415
519,0.899628152,0.941627375,0.892922898,0.935498056
529,0.892673989,0.942820464,0.892541507,0.938272504
539,0.897713091,0.94508091,0.886538713,0.939453976
549,0.90339583,0.942529539,0.894789988,0.939563973
559,0.900090288,0.944510659,0.889535562,0.933780827
569,0.893937218,0.944587687,0.89479945,0.938678654
579,0.898927422,0.942862385,0.897425107,0.938481837
589,0.901283298,0.943160146,0.891732892,0.9402182
599,0.902900679,0.944901499,0.897556832,0.93588414
609,0.900617083,0.944759919,0.895943508,0.940377599
619,0.903864358,0.943027826,0.895477038,0.943042056
629,0.901843232,0.94617381,0.899195683,0.939688202
639,0.902088276,0.94628018,0.900783738,0.944282838
649,0.89750378,0.946123614,0.899684266,0.941723879
659,0.883575432,0.94715753,0.901245246,0.943041293
669,0.897545343,0.945494815,0.900657281,0.94216584
679,0.898375807,0.945786119,0.900796465,0.941627536
689,0.900530854,0.945554395,0.903133513,0.942586243
699,0.899443313,0.94669483,0.899583399,0.942459359
709,0.904286462,0.945906449,0.904100012,0.942309417
719,0.907771263,0.947074632,0.9025141,0.943011398
729,0.903821317,0.945017023,0.902793522,0.943243582
739,0.905879422,0.9493898,0.902910029,0.943717794
749,0.904573683,0.946929116,0.904289668,0.944607628
759,0.901540072,0.946989027,0.904120921,0.942020748
769,0.898216431,0.94731171,0.904259537,0.943287654
779,0.90552734,0.947850997,0.902407066,0.944422972
789,0.908291959,0.948330405,0.904237715,0.942748482
799,0.903456572,0.948114059,0.900442399,0.943674041
809,0.895095028,0.950259635,0.903878853,0.944184612
819,0.909201882,0.948677151,0.901790566,0.943911695
829,0.897979042,0.950224858,0.906901437,0.943358906
839,0.905267501,0.949072887,0.903691676,0.943329731
849,0.90666357,0.94802957,0.904737507,0.941019981
859,0.904156171,0.949699746,0.907985974,0.942850657
869,0.896949656,0.949139453,0.908182132,0.944233301
879,0.907141521,0.946929671,0.901186602,0.943791035
889,0.901056027,0.946536448,0.906208738,0.945157074
899,0.90570988,0.947857726,0.90725789,0.944388772
909,0.909951656,0.947784684,0.907792391,0.945191677
919,0.909000708,0.949070531,0.905231153,0.946865426
929,0.904136508,0.949265097,0.903655342,0.946474268
939,0.906524994,0.948815896,0.90594355,0.94772672
949,0.882637928,0.950121555,0.907222193,0.941242116
959,0.907970015,0.94859231,0.906653815,0.943865599
969,0.905073791,0.9492942,0.907668202,0.949124479
979,0.907807106,0.949190669,0.90733443,0.947168489
989,0.906549094,0.94779552,0.913020725,0.94464891
999,0.911103456,0.947458796,0.910823858,0.947707129
1009,0.911901985,0.950223104,0.913009961,0.950362513
1019,0.914621749,0.952675176,0.913193584,0.950490536
1029,0.914345898,0.95153021,0.913236671,0.951934466
1039,0.915161139,0.951939976,0.915362875,0.951248507
1049,0.916062363,0.952677834,0.914902413,0.951842224
1059,0.911616412,0.951832766,0.916007478,0.950773955
1069,0.914975464,0.95057804,0.914676416,0.952330648
1079,0.916520519,0.952355506,0.91673427,0.95294966
1089,0.915726015,0.952469197,0.916005098,0.95152833
1099,0.911978349,0.952818356,0.917070121,0.951974439
1109,0.91635811,0.952911531,0.917728142,0.952468103
1119,0.916480107,0.953184877,0.917265659,0.950700549
1129,0.910561514,0.951448543,0.917210652,0.951786395
1139,0.915303346,0.953166616,0.918570251,0.952885158
1149,0.917248149,0.952906806,0.918783467,0.951308094
1159,0.916627186,0.952248778,0.917450288,0.95123279
1169,0.915441015,0.953556857,0.917514499,0.951862519
1179,0.915505836,0.953690016,0.918041088,0.951515597
1189,0.914679429,0.952914177,0.917322088,0.951520363
1199,0.915894656,0.953584993,0.919105123,0.951227339
1209,0.917600496,0.953571754,0.921045977,0.9525754
1219,0.917629675,0.954301801,0.918928063,0.95318153
